noun,gender
Zeit,feminine
Jahr,neuter
Mensch,masculine
Hand,feminine
Tag,masculine
Frau,feminine
Mann,masculine
Kind,neuter
Auge,neuter
Weg,masculine
Auto,neuter
Arbeit,feminine
Stadt,feminine
Freund,masculine
Haus,neuter
Leben,neuter
Kopf,masculine
Welt,feminine
Schule,feminine
Zimmer,neuter
Woche,feminine
Familie,feminine
Frage,feminine
Land,neuter
Wort,neuter
Wasser,neuter
Bild,neuter
Mutter,feminine
Nacht,feminine
Vater,masculine
Buch,neuter
Tür,feminine
Problem,neuter
Hund,masculine
Fuß,masculine
Herz,neuter
Geld,neuter
Licht,neuter
Geschichte,feminine
Seite,feminine
Minute,feminine
Tisch,masculine
Straße,feminine
Anfang,masculine
Ende,neuter
Film,masculine
Uhr,feminine
Name,masculine
Lied,neuter
Moment,masculine
Platz,masculine
Ohr,neuter
Fenster,neuter
Garten,masculine
Stunde,feminine
Gesicht,neuter
Sprache,feminine
Sonne,feminine
Telefon,neuter
Spiel,neuter
Körper,masculine
Wohnung,feminine
Kaffee,masculine
Bett,neuter
Bruder,masculine
Baum,masculine
Finger,masculine
Lächeln,neuter
Himmel,masculine
Karte,feminine
Stimme,feminine
Recht,neuter
Kindheit,feminine
Brief,masculine
Dorf,neuter
Zug,masculine
Berg,masculine
Tochter,feminine
Student,masculine
Wetter,neuter
Blick,masculine
Kuchen,masculine
Fluss,masculine
Fußball,masculine
Raum,masculine
Idee,feminine
Traum,masculine
Teller,masculine
Hoffnung,feminine
Polizei,feminine
Spiegel,masculine
Universität,feminine
Kleid,neuter
Sohn,masculine
Regen,masculine
Fahrrad,neuter
Stuhl,masculine
Haar,neuter
Geschenk,neuter
Tasse,feminine
